,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,material,mj_class_code,mj_plug_class_code,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,type,unique_feature,weight,component_thread_pitch,component_connection_type,component_nominal_size,component_length,component_thread_size,component_end_form
10,,,,,,,threaded,C-0077,CP-014,,,,,,,,,,,27.2,,,,,,,No,,23.0,,,,,,,,No,0.066,[16.0],['B-002'],['17.14'],[],[0.812],"['A-004', 'A-001']"
11,,,,,,,threaded,C-0078,CP-014,,,,,,,,,,,27.0,,,,,,,No,,32.0,,,,,,,,No,0.07,[16.0],['B-002'],[17.14],[],[0.812],"['A-005', 'A-004']"
12,90.0,,,,,,threaded,C-0119,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.205,[18.0],['B-003'],[9.52],"[44.0, 15.0]",[0.625],"['A-001', 'A-004']"
13,,,,,,,threaded,C-0133,CP-014,,,,,,,,,,,,,,,,,,No,,70.0,,,,,,,,Yes,0.142,[16.0],['B-002'],[12.7],[],[0.812],"['A-006', 'A-004']"
14,,,,,,,threaded,C-0159,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.667,[12.0],['B-002'],"['42.7', 34.0]","[35.5, 35.5, 42.0]",[1.4369999999999998],"['A-003', 'A-003', 'A-001']"
15,,,,,,,threaded,C-0173,CP-014,,,,,,,,,,,31.75,,,,,,,No,,43.5,,,,,,,,No,0.14,[12.0],['B-005'],['27.2'],[],[1.062],"['A-003', 'A-001']"
16,,,,,,,threaded,C-0178,CP-014,,,,,,,,,,,63.5,,,,,,,No,,50.0,,,,,,,,No,0.511,[11.5],['B-004'],[44.45],[],[2.0],"['A-007', 'A-004']"
17,,,,,,,threaded,C-0179,CP-014,,,,,,,,,,,44.45,,,,,,,No,,38.5,,,,,,,,No,0.104,[12.0],['B-002'],[35.0],[],[1.6869999999999998],"['A-001', 'A-004']"
18,,,,,,,threaded,C-0180,CP-014,,,,,,,,,,,31.75,,,,,,,No,,33.5,,,,,,,,No,0.144,[12.0],['B-002'],[25.0],[],[1.187],"['A-001', 'A-004']"
19,,,,,,,threaded,C-0181,CP-014,,,,,,,,,,,38.1,,,,,,,No,,38.5,,,,,,,,No,0.218,[12.0],['B-002'],[25.0],[],[1.4369999999999998],"['A-001', 'A-004']"
20,,,,,,,threaded,C-0182,CP-014,,,,,,,,,,,38.1,,,,,,,No,,38.5,,,,,,,,No,0.269,[12.0],['B-002'],[30.0],[],[1.4369999999999998],"['A-001', 'A-004']"
21,90.0,,,,,,threaded,C-0189,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.07,[18.0],['B-002'],[6.35],"[21.8, 9.5]",[0.562],"['A-001', 'A-004']"
22,90.0,,,,,,threaded,C-0210,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.211,[16.0],['B-002'],[15.88],"[30.96, 15.88]",[0.812],"['A-001', 'A-004']"
23,90.0,,,,,,threaded,C-0211,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.243,[14.0],['B-002'],[15.88],"[33.32, 16.67]",[1.0],"['A-001', 'A-004']"
24,90.0,,,,,,threaded,C-0212,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.633,[12.0],['B-002'],[25.4],"[41.68, 23.82]",[1.4369999999999998],"['A-001', 'A-004']"
25,,,,,,,threaded,C-0216,CP-014,,,,,,,,,,,22.23,,,,,,,No,,20.32,,,,,,,,No,0.034,[16.0],['B-005'],[15.88],[],[0.75],"['A-001', 'A-004']"
26,,,,,,,threaded,C-0217,CP-014,,,,,,,,,,,25.4,,,,,,,No,,23.62,,,,,,,,No,0.054,[14.0],['B-005'],[15.88],[],[0.875],"['A-001', 'A-004']"
27,,,,,,,threaded,C-0218,CP-014,,,,,,,,,,,31.75,,,,,,,No,,27.69,,,,,,,,No,0.082,[12.0],['B-005'],[25.4],[],[1.062],"['A-001', 'A-004']"
28,,,,,,,threaded,C-0223,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.56,[12.0],['B-002'],"['25.40', 25.4]","[40.1, 40.1, 41.7]",[1.6869999999999998],"['A-004', 'A-004', 'A-001']"
29,,,,,,,threaded,C-0240,CP-014,,,,,,,,,,,38.1,,,,,,,No,,38.0,,,,,,,,No,0.195,[12.0],['B-002'],[30.0],[],[1.187],"['A-001', 'A-004']"
30,,,,,,,threaded,C-0253,CP-014,,,,,,,,,,,47.62,,,,,,,No,,30.5,,,,,,,,No,0.2,[12.0],['B-002'],['34'],[],[1.6869999999999998],"['A-004', 'A-001']"
31,90.0,,,,,,threaded,C-0263,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.525,[12.0],['B-002'],[19.05],"[67.2, 38.9]",[1.187],"['A-006', 'A-004']"
32,90.0,,,,,,threaded,C-0264,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.525,[16.0],['B-002'],[19.05],"[56.9, 38.9]",[0.812],"['A-006', 'A-004']"
33,,,,,,,threaded,C-0272,CP-014,,,,,,,,,,,44.45,,,,,,,No,,38.5,,,,,,,,No,0.104,[12.0],['B-002'],[35.0],[],[1.4369999999999998],"['A-001', 'A-004']"
34,,,,,,,threaded,C-0318,CP-014,,,,,,,,,,,22.22,,,,,,,No,,23.1,,,,,,,,No,0.038,[16.0],['B-002'],[15.88],[],[0.687],"['A-001', 'A-004']"
35,90.0,,,,,,threaded,C-0338,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.29,[14.0],['B-002'],['9999'],"[30.0, 33.5]",[1.0],"['A-003', 'A-001']"
36,,,,,,,threaded,C-0339,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.32,[14.0],['B-002'],"['21.7', 21.7]","[30.0, 30.0, 33.5]",[1.0],"['A-003', 'A-003', 'A-001']"
37,,,,,,,threaded,C-0363,CP-014,,,,,,,,,,,31.75,,,,,,,No,,72.5,,,,,,,,No,0.175,[14.0],['B-002'],[19.05],[],[1.0],"['A-006', 'A-004']"
38,,,,,,,threaded,C-0369,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.253,"[16.0, 16.0]","['B-002', 'B-002']",[15.88],"[30.55, 30.55, 15.88]","[0.812, 0.812]","['A-001', 'A-001', 'A-004']"
39,,,,,,,threaded,C-0371,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.842,"[12.0, 12.0]","['B-002', 'B-002']",['34'],"[40.0, 42.5, 50.5]","[1.4369999999999998, 1.4369999999999998]","['A-003', 'A-001', 'A-001']"
40,,,,,,,threaded,C-0386,CP-014,,,,,,,,,,,60.3,,,,,,,No,,42.7,,,,,,,,No,0.543,[12.0],['B-002'],[9999.0],[],[2.0],"['A-001', 'A-004']"
41,,,,,,,threaded,C-0388,CP-014,,,,,,,,,,,19.05,,,,,,,No,,45.9,,,,,,,,No,0.078,[16.0],['B-002'],[12.7],[],[0.687],"['A-006', 'A-004']"
42,,,,,,,threaded,C-0389,CP-014,,,,,,,,,,,22.22,,,,,,,No,,48.4,,,,,,,,No,0.15,[16.0],['B-002'],[12.7],[],[0.812],"['A-006', 'A-004']"
43,,,,,,,threaded,C-0399,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.169,[16.0],['B-002'],"['15.88', 15.88]","[15.88, 15.88, 30.96]",[0.812],"['A-004', 'A-004', 'A-001']"
44,,,,,,,threaded,C-0409,CP-014,,,,,,,,,,,,,,,,,,No,,45.0,,,,,,,,No,0.15,[12.0],['B-002'],[25.4],[],[1.187],"['A-005', 'A-004']"
45,,,,,,,threaded,C-0410,CP-014,,,,,,,,,,,,,,,,,,No,,44.0,,,,,,,,No,0.11,[16.0],['B-002'],[19.05],[],[0.812],"['A-005', 'A-004']"
46,,,,,,,threaded,C-0413,CP-014,,,,,,,,,,,19.0,,,,,,,No,,23.0,,,,,,,,No,0.04,[16.0],['B-002'],[10.0],[],[0.687],"['A-001', 'A-004']"
47,,,,,,,threaded,C-0414,CP-014,,,,,,,,,,,19.0,,,,,,,No,,23.0,,,,,,,,No,0.04,[16.0],['B-002'],[12.0],[],[0.687],"['A-001', 'A-004']"
48,,,,,,,threaded,C-0415,CP-014,,,,,,,,,,,22.0,,,,,,,No,,24.5,,,,,,,,No,0.05,[16.0],['B-002'],[12.0],[],[0.812],"['A-001', 'A-004']"
49,,,,,,,threaded,C-0417,CP-014,,,,,,,,,,,27.0,,,,,,,No,,37.0,,,,,,,,No,0.231,[16.0],['B-002'],[17.14],[],[0.812],"['A-005', 'A-004']"
50,,,,,,,threaded,C-0418,CP-014,,,,,,,,,,,27.0,,,,,,,No,,30.0,,,,,,,,No,0.078,[16.0],['B-002'],['17.14'],[],[0.812],"['A-004', 'A-001']"
51,,,,,,,threaded,C-0419,CP-014,,,,,,,,,,,27.0,,,,,,,No,,37.0,,,,,,,,No,0.231,[16.0],['B-002'],[17.47],[],[0.812],"['A-005', 'A-004']"
52,,,,,,,threaded,C-0420,CP-014,,,,,,,,,,,27.0,,,,,,,No,,30.0,,,,,,,,No,0.078,[16.0],['B-002'],['17.47'],[],[0.812],"['A-004', 'A-001']"
53,90.0,,,,,,threaded,C-0421,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.288,[16.0],['B-002'],[17.47],"[29.0, 21.0]",[0.812],"['A-001', 'A-004']"
54,,,,,,,threaded,C-0487,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.669,"[12.0, 12.0]","['B-002', 'B-002']",[35.0],"[40.0, 40.0, 22.5]","[1.187, 1.187]","['A-001', 'A-001', 'A-004']"
55,,,,,,,threaded,C-0488,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.702,"[12.0, 12.0]","['B-002', 'B-002']",[30.0],"[40.0, 40.0, 23.0]","[1.187, 1.187]","['A-001', 'A-001', 'A-004']"
56,,,,,,,threaded,C-0503,CP-014,,,,,,,,,,,,,,,,,,No,,48.26,,,,,,,,No,0.525,[12.0],['B-002'],['50.80'],[],[1.4369999999999998],"['A-004', 'A-001']"
57,,,,,,,threaded,C-0518,CP-014,,,,,,,,,,,22.0,,,,,,,No,,23.1,,,,,,,,No,0.04,[16.0],['B-002'],[7.94],[],[0.687],"['A-001', 'A-004']"
58,90.0,,,,,,threaded,C-0521,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.663,[12.0],['B-002'],['25.40'],"[23.9, 41.7]",[1.4369999999999998],"['A-004', 'A-001']"
59,,,,,,,threaded,C-0545,CP-014,,,,,,,,,,,22.22,,,,,,,No,,24.5,,,,,,,,No,0.057,[16.0],['B-002'],['9.52'],[],[0.687],"['A-004', 'A-005']"
60,,,,,,,threaded,C-0550,CP-014,,,,,,,,,,,53.98,,,,,,,No,,38.6,,,,,,,,No,0.404,[12.0],['B-002'],[38.1],[],[2.0],"['A-001', 'A-004']"
61,90.0,,,,,,threaded,C-0584,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.712,[12.0],['B-002'],[33.34],"[40.0, 28.0]",[1.6869999999999998],"['A-001', 'A-004']"
62,,,,,,,threaded,C-0596,CP-014,,,,,,,,,,,17.46,,,,,,,No,,43.7,,,,,,,,Yes,0.055,[18.0],['B-002'],[9.52],[],[0.562],"['A-006', 'A-004']"
63,,,,,,,threaded,C-0600,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.529,"[14.0, 12.0]","['B-002', 'B-002']",[15.88],"[65.7, 38.5, 37.0]","[1.0, 1.187]","['A-006', 'A-001', 'A-004']"
64,,,,,,,threaded,C-0605,CP-017,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.358,"[20.0, 12.0, 12.0]","['B-005', 'B-002', 'B-002']",['25.40'],"[23.8, 41.7, 41.7]","[0.43700000000000006, 1.187, 1.187]","['A-004', 'A-007', 'A-001', 'A-001']"
65,,,,,,,threaded,C-0607,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.5,"[16.0, 16.0]","['B-002', 'B-002']",[9.52],"[24.9, 24.9, 14.5]","[0.687, 0.687]","['A-001', 'A-001', 'A-004']"
66,,,,,,,threaded,C-0638,CP-014,,,,,,,,,,,,,,,,,,No,,75.5,,,,,,,,Yes,0.401,[12.0],['B-002'],['25.40'],[],[1.4369999999999998],"['A-004', 'A-006']"
67,,,,,,,threaded,C-0651,CP-014,,,,,,,,,,,76.2,,,,,,,No,,72.4,,,,,,,,No,0.968,[8.0],['B-004'],[63.5],[],[2.5],"['A-001', 'A-004']"
68,,,,,,,threaded,C-0683,CP-014,,,,,,,,,,,31.75,,,,,,,No,,29.7,,,,,,,,No,0.134,[12.0],['B-002'],[15.88],[],[1.187],"['A-001', 'A-004']"
69,,,,,,,threaded,C-0702,CP-014,,,,,,,,,,,53.98,,,,,,,No,,63.3,,,,,,,,No,0.497,[12.0],['B-002'],[38.1],[],[1.4369999999999998],"['A-006', 'A-004']"
70,,,,,,,threaded,C-0740,CP-014,,,,,,,,,,,,,,,,,,No,,65.1,,,,,,,,Yes,0.123,[16.0],['B-002'],['6.35'],[],[0.687],"['A-004', 'A-006']"
71,,,,,,,threaded,C-0768,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.539,"[12.0, 12.0]","['B-002', 'B-002']",[19.05],"[42.0, 37.3, 37.3]","[1.187, 1.187]","['A-001', 'A-004', 'A-001']"
72,90.0,,,,,,threaded,C-0769,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.138,[16.0],['B-002'],['14.29'],"[24.7, 25.0]",[0.687],"['A-004', 'A-001']"
73,,,,,,,threaded,C-0775,CP-014,,,,,,,,,,,,,,,,,,No,,65.1,,,,,,,,No,0.111,[16.0],['B-002'],['9.52'],[],[0.687],"['A-004', 'A-006']"
74,,,,,,,threaded,C-0805,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,1.125,"[16.0, 12.0]","['B-002', 'B-002']",['25.40'],"[43.0, 41.7, 71.2]","[0.812, 1.4369999999999998]","['A-004', 'A-001', 'A-006']"
75,,,,,,,threaded,C-0806,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,1.007,"[12.0, 12.0]","['B-002', 'B-002']",['25.40'],"[50.0, 41.7, 41.7]","[1.4369999999999998, 1.4369999999999998]","['A-004', 'A-001', 'A-001']"
76,,,,,,,threaded,C-0807,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.646,"[14.0, 14.0]","['B-002', 'B-002']",[25.4],"[40.0, 40.0, 42.0]","[1.0, 1.0]","['A-001', 'A-001', 'A-004']"
77,90.0,,,,,,threaded,C-0826,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.182,[12.0],['B-001'],['25.40'],"[34.5, 48.0]",[1.062],"['A-004', 'A-001']"
78,,,,,,,threaded,C-0832,CP-014,,,,,,,,,,,14.29,,,,,,,No,,24.4,,,,,,,,No,0.681,[18.0],['B-001'],[9.52],[],[0.562],"['A-001', 'A-004']"
79,,,,,,,threaded,C-0833,CP-014,,,,,,,,,,,38.1,,,,,,,No,,41.1,,,,,,,,No,0.136,[12.0],['B-001'],[31.75],[],[1.3119999999999998],"['A-001', 'A-004']"
80,90.0,,,,,,threaded,C-0882,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,1.05,[12.0],['B-002'],['38.10'],"[48.8, 61.2]",[2.0],"['A-004', 'A-005']"
81,45.0,,,,,,threaded,C-0895,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.397,[12.0],['B-002'],[19.05],"[36.5, 25.9]",[1.187],"['A-001', 'A-004']"
82,,,,,,,threaded,C-0900,CP-014,,,,,,,,,,,44.45,,,,,,,No,,63.2,,,,,,,,No,0.456,[12.0],['B-002'],[31.75],[],[1.6869999999999998],"['A-001', 'A-004']"
83,,,,,,,threaded,C-0911,CP-014,,,,,,,,,,,38.1,,,,,,,No,,42.5,,,,,,,,No,0.201,[12.0],['B-002'],['25.40'],[],[1.4369999999999998],"['A-003', 'A-001']"
84,90.0,,,,,,threaded,C-0912,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.458,[12.0],['B-002'],['25.40'],"[39.5, 41.7]",[1.4369999999999998],"['A-003', 'A-001']"
85,,,,,,,threaded,C-0938,CP-014,,,,,,,,,,,44.45,,,,,,,No,,56.6,,,,,,,,No,0.351,[12.0],['B-002'],[35.0],[],[1.4369999999999998],"['A-001', 'A-003']"
86,,,,,,,threaded,C-0945,CP-014,,,,,,,,,,,38.0,,,,,,,No,,42.4,,,,,,,,No,0.225,[12.0],['B-002'],[30.0],[],[1.187],"['A-001', 'A-003']"
87,,,,,,,threaded,C-0947,CP-014,,,,,,,,,,,38.0,,,,,,,No,,42.9,,,,,,,,No,0.204,[12.0],['B-002'],[30.0],[],[1.4369999999999998],"['A-001', 'A-003']"
88,,,,,,,threaded,C-0948,CP-014,,,,,,,,,,,38.0,,,,,,,No,,56.6,,,,,,,,No,0.284,[12.0],['B-002'],[25.0],[],[1.4369999999999998],"['A-001', 'A-003']"
89,,,,,,,threaded,C-0949,CP-014,,,,,,,,,,,31.75,,,,,,,No,,50.7,,,,,,,,No,0.176,[12.0],['B-002'],[25.0],[],[1.187],"['A-001', 'A-003']"
90,,,,,,,threaded,C-0971,CP-016,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.545,"[12.0, 12.0]","['B-002', 'B-002']",[9999.0],"[41.2, 41.2, 41.7]","[1.187, 1.187]","['A-001', 'A-001', 'A-003']"
91,90.0,,,,,,threaded,C-0974,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,1.17,[12.0],['B-002'],[31.75],"[71.1, 41.6]",[1.4369999999999998],"['A-006', 'A-004']"
92,,,,,,,threaded,C-1067,CP-014,,,,,,,,,,,38.1,,,,,,,No,,63.0,,,,,,,,No,0.005,[12.0],['B-002'],[19.05],[],[1.4369999999999998],"['A-006', 'A-004']"
93,90.0,,,,,,threaded,C-1072,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.097,[12.0],['B-002'],['31.75'],"[46.7, 44.5]",[1.6869999999999998],"['A-004', 'A-001']"
94,,,,,,,threaded,C-1078,CP-014,,,,,,,,,,,12.7,,,,,,,No,,24.4,,,,,,,,No,0.016,[20.0],['B-001'],[6.35],[],[0.43700000000000006],"['A-001', 'A-004']"
95,90.0,,,,,,threaded,C-1209,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.096,[16.0],['B-002'],[9.52],"[25.0, 25.0]",[0.687],"['A-001', 'A-004']"
96,,,,,,,threaded,C-1218,CP-014,,,,,,,,,,,26.99,,,,,,,No,,48.4,,,,,,,,No,0.15,[16.0],['B-002'],[15.88],[],[0.812],"['A-006', 'A-004']"
97,90.0,,,,,,threaded,C-1219,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.14,[16.0],['B-002'],[12.7],"[37.9, 28.0]",[0.812],"['A-005', 'A-004']"
98,90.0,,,,,,threaded,C-1221,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,0.16,[14.0],['B-002'],['19.05'],"[33.3, 33.3]",[1.0],"['A-004', 'A-001']"
99,90.0,,,,,,threaded,C-1238,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.083,[16.0],['B-001'],[12.7],"[28.2, 53.6]",[0.75],"['A-006', 'A-004']"
100,,,,,,,threaded,C-1338,CP-014,,,,,,,,,,,27.0,,,,,,,No,,40.5,,,,,,,,No,0.146,[14.0],['B-002'],['21.7'],[],[1.0],"['A-003', 'A-001']"
101,,,,,,,threaded,C-1393,CP-014,,,,,,,,,,,,,,,,,,No,,32.0,,,,,,,,Yes,0.37,[12.0],['B-005'],['38.10'],[],[1.062],"['A-004', 'A-007']"
102,,,,,,,threaded,C-1423,CP-014,,,,,,,,,,,38.1,,,,,,,No,,42.5,,,,,,,,No,0.17,[12.0],['B-002'],['27.2'],[],[1.4369999999999998],"['A-003', 'A-001']"
103,,,,,,,threaded,C-1441,CP-014,,,,,,,,,,,31.75,,,,,,,No,,31.8,,,,,,,,No,0.106,[12.0],['B-005'],[19.05],[],[1.062],"['A-001', 'A-003']"
104,90.0,,,,,,threaded,C-1445,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.363,[12.0],['B-001'],['19.05'],"[34.5, 48.0]",[1.062],"['A-004', 'A-001']"
105,,,,,,,threaded,C-1468,CP-014,,,,,,,,,,,15.88,,,,,,,No,,18.54,,,,,,,,No,0.128,[18.0],['B-006'],[9.52],[],[0.625],"['A-001', 'A-004']"
106,,,,,,,threaded,C-1469,CP-014,,,,,,,,,,,23.81,,,,,,,No,,27.43,,,,,,,,No,0.047,[14.0],['B-006'],[15.88],[],[0.875],"['A-001', 'A-004']"
107,,,,,,,threaded,C-1470,CP-014,,,,,,,,,,,14.29,,,,,,,No,,32.26,,,,,,,,No,0.099,[14.0],['B-008'],[19.05],[],[1.062],"['A-001', 'A-004']"
108,,,,,,,threaded,C-1475,CP-014,,,,,,,,,,,19.05,,,,,,,No,,22.0,,,,,,,,No,0.031,[16.0],['B-006'],[12.7],[],[0.75],"['A-001', 'A-004']"
109,,,,,,,threaded,C-1479,CP-014,,,,,,,,,,,41.28,,,,,,,No,,71.9,,,,,,,,No,0.061,[12.0],['B-001'],['31.75'],[],[1.3119999999999998],"['A-004', 'A-006']"
110,,,,,,,threaded,C-1486,CP-014,,,,,,,,,,,22.22,,,,,,,No,,33.0,,,,,,,,No,,[14.0],['B-006'],[15.88],[],[0.875],"['A-001', 'A-004']"
111,,,,,,,threaded,C-1547,CP-014,,,,,,,,,,,28.58,,,,,,,No,,32.5,,,,,,,,No,0.091,[12.0],['B-001'],[19.05],[],[1.062],"['A-001', 'A-004']"
112,,,,,,,threaded,C-1578,CP-014,,,,,,,,,,,25.4,,,,,,,No,,50.8,,,,,,,,No,0.091,[14.0],['B-001'],[15.88],[],[0.875],"['A-006', 'A-004']"
113,90.0,,,,,,threaded,C-1593,CP-015,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,0.136,[12.0],['B-001'],[25.4],"[67.8, 41.4]",[1.062],"['A-006', 'A-004']"
114,,,,,,,threaded,C-1637,CP-014,,,,,,,,,,,15.88,,,,,,,No,,22.0,,,,,,,,No,0.03,[18.0],['B-002'],[6.35],[],[0.562],"['A-001', 'A-004']"
115,,,,,,,threaded,C-1638,CP-014,,,,,,,,,,,19.05,,,,,,,No,,23.1,,,,,,,,No,0.04,[16.0],['B-002'],[9.52],[],[0.687],"['A-001', 'A-004']"
116,,,,,,,threaded,C-1639,CP-014,,,,,,,,,,,22.2,,,,,,,No,,24.7,,,,,,,,No,0.05,[16.0],['B-002'],[12.7],[],[0.812],"['A-001', 'A-004']"
117,,,,,,,threaded,C-1640,CP-014,,,,,,,,,,,26.99,,,,,,,No,,27.4,,,,,,,,No,0.104,[14.0],['B-002'],[15.88],[],[1.0],"['A-001', 'A-004']"
118,,,,,,,threaded,C-1641,CP-014,,,,,,,,,,,31.75,,,,,,,No,,33.7,,,,,,,,No,0.149,[12.0],['B-002'],[19.05],[],[1.187],"['A-001', 'A-004']"
119,,,,,,,threaded,C-1642,CP-014,,,,,,,,,,,38.1,,,,,,,No,,38.6,,,,,,,,No,0.225,[12.0],['B-002'],[25.4],[],[1.4369999999999998],"['A-001', 'A-004']"
120,,,,,,,threaded,C-1643,CP-014,,,,,,,,,,,44.45,,,,,,,No,,38.6,,,,,,,,No,0.06,[12.0],['B-002'],[31.75],[],[1.6869999999999998],"['A-001', 'A-004']"
121,,,,,,,threaded,C-1644,CP-014,,,,,,,,,,,34.92,,,,,,,No,,35.2,,,,,,,,No,0.16,[12.0],['B-002'],[22.22],[],[1.187],"['A-001', 'A-004']"
122,,,,,,,threaded,C-1645,CP-014,,,,,,,,,,,28.58,,,,,,,No,,22.0,,,,,,,,No,0.02,[18.0],['B-002'],[9.52],[],[0.562],"['A-001', 'A-004']"
123,,,,,,,threaded,C-1646,CP-014,,,,,,,,,,,19.05,,,,,,,No,,23.1,,,,,,,,No,0.04,[16.0],['B-002'],[12.7],[],[0.687],"['A-001', 'A-004']"
124,,,,,,,threaded,C-1647,CP-014,,,,,,,,,,,22.22,,,,,,,No,,24.7,,,,,,,,No,0.05,[16.0],['B-002'],[15.88],[],[0.812],"['A-001', 'A-004']"
