,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,connection_type_id,connection_type_id_1,connection_type_id_2,connection_type_id_3,connection_type_id_4,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,end_form_id_1,end_form_id_2,end_form_id_3,end_form_id_4,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,length,length_1,length_2,length_3,length_4,material,mj_class_code,mj_plug_class_code,nominal_size_1,nominal_size_2,nominal_size_3,nominal_size_4,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,thread_pitch,thread_pitch_1,thread_pitch_2,thread_pitch_3,thread_pitch_4,thread_size,thread_size_1,thread_size_2,thread_size_3,thread_size_4,type,unique_feature,weight
16,,,,,,,threaded,C-0178,CP-014,,B-004,,,,,,,,,A-007,A-004,,,,,,,,63.5,,,,,,,,,,,,,44.45,,,No,,50.0,,,,,,,,11.5,,,,,2.0,,,,,No,0.511
17,,,,,,,threaded,C-0179,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,44.45,,,,,,,,,,,,,35.0,,,No,,38.5,,,,,,,,12.0,,,,,1.687,,,,,No,0.104
18,,,,,,,threaded,C-0180,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,31.75,,,,,,,,,,,,,25.0,,,No,,33.5,,,,,,,,12.0,,,,,1.187,,,,,No,0.144
19,,,,,,,threaded,C-0181,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,38.1,,,,,,,,,,,,,25.0,,,No,,38.5,,,,,,,,12.0,,,,,1.437,,,,,No,0.218
20,,,,,,,threaded,C-0182,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,38.1,,,,,,,,,,,,,30.0,,,No,,38.5,,,,,,,,12.0,,,,,1.437,,,,,No,0.269
21,90.0,,,,,,threaded,C-0189,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,21.8,9.5,,,,,,,6.35,,,Yes,,,,,,,,,,18.0,,,,,0.562,,,,,No,0.07
22,90.0,,,,,,threaded,C-0210,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,30.96,15.88,,,,,,,15.88,,,Yes,,,,,,,,,,16.0,,,,,0.812,,,,,No,0.211
23,90.0,,,,,,threaded,C-0211,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,33.32,16.67,,,,,,,15.88,,,Yes,,,,,,,,,,14.0,,,,,1.0,,,,,No,0.243
24,90.0,,,,,,threaded,C-0212,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,41.68,23.82,,,,,,,25.4,,,Yes,,,,,,,,,,12.0,,,,,1.437,,,,,No,0.633
25,,,,,,,threaded,C-0216,CP-014,,B-005,,,,,,,,,A-001,A-004,,,,,,,,22.23,,,,,,,,,,,,,15.88,,,No,,20.32,,,,,,,,16.0,,,,,0.75,,,,,No,0.034
26,,,,,,,threaded,C-0217,CP-014,,B-005,,,,,,,,,A-001,A-004,,,,,,,,25.4,,,,,,,,,,,,,15.88,,,No,,23.62,,,,,,,,14.0,,,,,0.875,,,,,No,0.054
27,,,,,,,threaded,C-0218,CP-014,,B-005,,,,,,,,,A-001,A-004,,,,,,,,31.75,,,,,,,,,,,,,25.4,,,No,,27.69,,,,,,,,12.0,,,,,1.062,,,,,No,0.082
28,,,,,,,threaded,C-0223,CP-016,,,,B-002,,,,,,,A-004,A-004,A-001,,,,,,,,,,,,40.1,40.1,41.7,,,,,25.40,25.4,,,Yes,,,,,,,,,,,,12.0,,,,,1.687,,,No,0.56
29,,,,,,,threaded,C-0240,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,38.1,,,,,,,,,,,,,30.0,,,No,,38.0,,,,,,,,12.0,,,,,1.187,,,,,No,0.195
30,,,,,,,threaded,C-0253,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,47.62,,,,,,,,,,,,34,,,,No,,30.5,,,,,,,,,12.0,,,,,1.687,,,,No,0.2
31,90.0,,,,,,threaded,C-0263,CP-015,,B-002,,,,,,,,,A-006,A-004,,,,,,,,,,,,,67.2,38.9,,,,,,,19.05,,,Yes,,,,,,,,,,12.0,,,,,1.187,,,,,No,0.525
32,90.0,,,,,,threaded,C-0264,CP-015,,B-002,,,,,,,,,A-006,A-004,,,,,,,,,,,,,56.9,38.9,,,,,,,19.05,,,Yes,,,,,,,,,,16.0,,,,,0.812,,,,,No,0.525
33,,,,,,,threaded,C-0272,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,44.45,,,,,,,,,,,,,35.0,,,No,,38.5,,,,,,,,12.0,,,,,1.437,,,,,No,0.104
34,,,,,,,threaded,C-0318,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,22.22,,,,,,,,,,,,,15.88,,,No,,23.1,,,,,,,,16.0,,,,,0.687,,,,,No,0.038
35,90.0,,,,,,threaded,C-0338,CP-015,,,B-002,,,,,,,,A-003,A-001,,,,,,,,,,,,,30.0,33.5,,,,,,9999,,,,Yes,,,,,,,,,,,14.0,,,,,1.0,,,,No,0.29
36,,,,,,,threaded,C-0339,CP-016,,,,B-002,,,,,,,A-003,A-003,A-001,,,,,,,,,,,,30.0,30.0,33.5,,,,,21.7,21.7,,,Yes,,,,,,,,,,,,14.0,,,,,1.0,,,No,0.32
37,,,,,,,threaded,C-0363,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,31.75,,,,,,,,,,,,,19.05,,,No,,72.5,,,,,,,,14.0,,,,,1.0,,,,,No,0.175
38,,,,,,,threaded,C-0369,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-004,,,,,,,,,,,,30.55,30.55,15.88,,,,,,,15.88,,Yes,,,,,,,,,,16.0,16.0,,,,0.812,0.812,,,,No,0.253
39,,,,,,,threaded,C-0371,CP-016,,,B-002,B-002,,,,,,,A-003,A-001,A-001,,,,,,,,,,,,40.0,42.5,50.5,,,,,34,,,,Yes,,,,,,,,,,,12.0,12.0,,,,1.437,1.437,,,No,0.842
40,,,,,,,threaded,C-0386,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,60.3,,,,,,,,,,,,,9999.0,,,No,,42.7,,,,,,,,12.0,,,,,2.0,,,,,No,0.543
41,,,,,,,threaded,C-0388,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,19.05,,,,,,,,,,,,,12.7,,,No,,45.9,,,,,,,,16.0,,,,,0.687,,,,,No,0.078
42,,,,,,,threaded,C-0389,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,22.22,,,,,,,,,,,,,12.7,,,No,,48.4,,,,,,,,16.0,,,,,0.812,,,,,No,0.15
43,,,,,,,threaded,C-0399,CP-016,,,,B-002,,,,,,,A-004,A-004,A-001,,,,,,,,,,,,15.88,15.88,30.96,,,,,15.88,15.88,,,Yes,,,,,,,,,,,,16.0,,,,,0.812,,,No,0.169
44,,,,,,,threaded,C-0409,CP-014,,B-002,,,,,,,,,A-005,A-004,,,,,,,,,,,,,,,,,,,,,25.4,,,No,,45.0,,,,,,,,12.0,,,,,1.187,,,,,No,0.15
45,,,,,,,threaded,C-0410,CP-014,,B-002,,,,,,,,,A-005,A-004,,,,,,,,,,,,,,,,,,,,,19.05,,,No,,44.0,,,,,,,,16.0,,,,,0.812,,,,,No,0.11
46,,,,,,,threaded,C-0413,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,19.0,,,,,,,,,,,,,10.0,,,No,,23.0,,,,,,,,16.0,,,,,0.687,,,,,No,0.04
47,,,,,,,threaded,C-0414,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,19.0,,,,,,,,,,,,,12.0,,,No,,23.0,,,,,,,,16.0,,,,,0.687,,,,,No,0.04
48,,,,,,,threaded,C-0415,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,22.0,,,,,,,,,,,,,12.0,,,No,,24.5,,,,,,,,16.0,,,,,0.812,,,,,No,0.05
49,,,,,,,threaded,C-0417,CP-014,,B-002,,,,,,,,,A-005,A-004,,,,,,,,27.0,,,,,,,,,,,,,17.14,,,No,,37.0,,,,,,,,16.0,,,,,0.812,,,,,No,0.231
50,,,,,,,threaded,C-0418,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,27.0,,,,,,,,,,,,17.14,,,,No,,30.0,,,,,,,,,16.0,,,,,0.812,,,,No,0.078
51,,,,,,,threaded,C-0419,CP-014,,B-002,,,,,,,,,A-005,A-004,,,,,,,,27.0,,,,,,,,,,,,,17.47,,,No,,37.0,,,,,,,,16.0,,,,,0.812,,,,,No,0.231
52,,,,,,,threaded,C-0420,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,27.0,,,,,,,,,,,,17.47,,,,No,,30.0,,,,,,,,,16.0,,,,,0.812,,,,No,0.078
53,90.0,,,,,,threaded,C-0421,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,29.0,21.0,,,,,,,17.47,,,Yes,,,,,,,,,,16.0,,,,,0.812,,,,,Yes,0.288
54,,,,,,,threaded,C-0487,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-004,,,,,,,,,,,,40.0,40.0,22.5,,,,,,,35.0,,Yes,,,,,,,,,,12.0,12.0,,,,1.187,1.187,,,,No,0.669
55,,,,,,,threaded,C-0488,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-004,,,,,,,,,,,,40.0,40.0,23.0,,,,,,,30.0,,Yes,,,,,,,,,,12.0,12.0,,,,1.187,1.187,,,,No,0.702
56,,,,,,,threaded,C-0503,CP-014,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,,,,,,,,50.80,,,,No,,48.26,,,,,,,,,12.0,,,,,1.437,,,,No,0.525
57,,,,,,,threaded,C-0518,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,22.0,,,,,,,,,,,,,7.94,,,No,,23.1,,,,,,,,16.0,,,,,0.687,,,,,No,0.04
58,90.0,,,,,,threaded,C-0521,CP-015,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,23.9,41.7,,,,,,25.40,,,,Yes,,,,,,,,,,,12.0,,,,,1.437,,,,No,0.663
59,,,,,,,threaded,C-0545,CP-014,,,B-002,,,,,,,,A-004,A-005,,,,,,,,22.22,,,,,,,,,,,,9.52,,,,No,,24.5,,,,,,,,,16.0,,,,,0.687,,,,No,0.057
60,,,,,,,threaded,C-0550,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,53.98,,,,,,,,,,,,,38.1,,,No,,38.6,,,,,,,,12.0,,,,,2.0,,,,,No,0.404
61,90.0,,,,,,threaded,C-0584,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,40.0,28.0,,,,,,,33.34,,,Yes,,,,,,,,,,12.0,,,,,1.687,,,,,No,0.712
62,,,,,,,threaded,C-0596,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,17.46,,,,,,,,,,,,,9.52,,,No,,43.7,,,,,,,,18.0,,,,,0.562,,,,,Yes,0.055
63,,,,,,,threaded,C-0600,CP-016,,B-002,B-002,,,,,,,,A-006,A-001,A-004,,,,,,,,,,,,65.7,38.5,37.0,,,,,,,15.88,,Yes,,,,,,,,,,14.0,12.0,,,,1.0,1.187,,,,Yes,0.529
64,,,,,,,threaded,C-0605,CP-017,,,B-005,B-002,B-002,,,,,,A-004,A-007,A-001,A-001,,,,,,,,,,,23.8,0.0,41.7,41.7,,,,25.40,,,,Yes,,,,,,,,,,,20.0,12.0,12.0,,,0.437,1.187,1.187,,Yes,0.358
65,,,,,,,threaded,C-0607,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-004,,,,,,,,,,,,24.9,24.9,14.5,,,,,,,9.52,,Yes,,,,,,,,,,16.0,16.0,,,,0.687,0.687,,,,No,0.5
66,,,,,,,threaded,C-0638,CP-014,,,B-002,,,,,,,,A-004,A-006,,,,,,,,,,,,,,,,,,,,25.40,,,,No,,75.5,,,,,,,,,12.0,,,,,1.437,,,,Yes,0.401
67,,,,,,,threaded,C-0651,CP-014,,B-004,,,,,,,,,A-001,A-004,,,,,,,,76.2,,,,,,,,,,,,,63.5,,,No,,72.4,,,,,,,,8.0,,,,,2.5,,,,,No,0.968
68,,,,,,,threaded,C-0683,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,31.75,,,,,,,,,,,,,15.88,,,No,,29.7,,,,,,,,12.0,,,,,1.187,,,,,No,0.134
69,,,,,,,threaded,C-0702,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,53.98,,,,,,,,,,,,,38.1,,,No,,63.3,,,,,,,,12.0,,,,,1.437,,,,,No,0.497
70,,,,,,,threaded,C-0740,CP-014,,,B-002,,,,,,,,A-004,A-006,,,,,,,,,,,,,,,,,,,,6.35,,,,No,,65.1,,,,,,,,,16.0,,,,,0.687,,,,Yes,0.123
71,,,,,,,threaded,C-0768,CP-016,,B-002,,B-002,,,,,,,A-001,A-004,A-001,,,,,,,,,,,,42.0,37.3,37.3,,,,,,19.05,,,Yes,,,,,,,,,,12.0,,12.0,,,1.187,,1.187,,,No,0.539
72,90.0,,,,,,threaded,C-0769,CP-015,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,24.7,25.0,,,,,,14.29,,,,Yes,,,,,,,,,,,16.0,,,,,0.687,,,,No,0.138
73,,,,,,,threaded,C-0775,CP-014,,,B-002,,,,,,,,A-004,A-006,,,,,,,,,,,,,,,,,,,,9.52,,,,No,,65.1,,,,,,,,,16.0,,,,,0.687,,,,No,0.111
74,,,,,,,threaded,C-0805,CP-016,,,B-002,B-002,,,,,,,A-004,A-001,A-006,,,,,,,,,,,,43.0,41.7,71.2,,,,,25.40,,,,Yes,,,,,,,,,,,16.0,12.0,,,,0.812,1.437,,,No,1.125
75,,,,,,,threaded,C-0806,CP-016,,,B-002,B-002,,,,,,,A-004,A-001,A-001,,,,,,,,,,,,50.0,41.7,41.7,,,,,25.40,,,,Yes,,,,,,,,,,,12.0,12.0,,,,1.437,1.437,,,No,1.007
76,,,,,,,threaded,C-0807,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-004,,,,,,,,,,,,40.0,40.0,42.0,,,,,,,25.4,,Yes,,,,,,,,,,14.0,14.0,,,,1.0,1.0,,,,No,0.646
77,90.0,,,,,,threaded,C-0826,CP-015,,,B-001,,,,,,,,A-004,A-001,,,,,,,,,,,,,34.5,48.0,,,,,,25.40,,,,Yes,,,,,,,,,,,12.0,,,,,1.062,,,,Yes,0.182
78,,,,,,,threaded,C-0832,CP-014,,B-001,,,,,,,,,A-001,A-004,,,,,,,,14.29,,,,,,,,,,,,,9.52,,,No,,24.4,,,,,,,,18.0,,,,,0.562,,,,,No,0.681
79,,,,,,,threaded,C-0833,CP-014,,B-001,,,,,,,,,A-001,A-004,,,,,,,,38.1,,,,,,,,,,,,,31.75,,,No,,41.1,,,,,,,,12.0,,,,,1.312,,,,,No,0.136
80,90.0,,,,,,threaded,C-0882,CP-015,,,B-002,,,,,,,,A-004,A-005,,,,,,,,,,,,,48.8,61.2,,,,,,38.10,,,,Yes,,,,,,,,,,,12.0,,,,,2.0,,,,No,1.05
81,45.0,,,,,,threaded,C-0895,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,36.5,25.9,,,,,,,19.05,,,Yes,,,,,,,,,,12.0,,,,,1.187,,,,,No,0.397
82,,,,,,,threaded,C-0900,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,44.45,,,,,,,,,,,,,31.75,,,No,,63.2,,,,,,,,12.0,,,,,1.687,,,,,No,0.456
83,,,,,,,threaded,C-0911,CP-014,,,B-002,,,,,,,,A-003,A-001,,,,,,,,38.1,,,,,,,,,,,,25.40,,,,No,,42.5,,,,,,,,,12.0,,,,,1.437,,,,No,0.201
84,90.0,,,,,,threaded,C-0912,CP-015,,,B-002,,,,,,,,A-003,A-001,,,,,,,,,,,,,39.5,41.7,,,,,,25.40,,,,Yes,,,,,,,,,,,12.0,,,,,1.437,,,,No,0.458
85,,,,,,,threaded,C-0938,CP-014,,B-002,,,,,,,,,A-001,A-003,,,,,,,,44.45,,,,,,,,,,,,,35.0,,,No,,56.6,,,,,,,,12.0,,,,,1.437,,,,,No,0.351
86,,,,,,,threaded,C-0945,CP-014,,B-002,,,,,,,,,A-001,A-003,,,,,,,,38.0,,,,,,,,,,,,,30.0,,,No,,42.4,,,,,,,,12.0,,,,,1.187,,,,,No,0.225
87,,,,,,,threaded,C-0947,CP-014,,B-002,,,,,,,,,A-001,A-003,,,,,,,,38.0,,,,,,,,,,,,,30.0,,,No,,42.9,,,,,,,,12.0,,,,,1.437,,,,,No,0.204
88,,,,,,,threaded,C-0948,CP-014,,B-002,,,,,,,,,A-001,A-003,,,,,,,,38.0,,,,,,,,,,,,,25.0,,,No,,56.6,,,,,,,,12.0,,,,,1.437,,,,,No,0.284
89,,,,,,,threaded,C-0949,CP-014,,B-002,,,,,,,,,A-001,A-003,,,,,,,,31.75,,,,,,,,,,,,,25.0,,,No,,50.7,,,,,,,,12.0,,,,,1.187,,,,,No,0.176
90,,,,,,,threaded,C-0971,CP-016,,B-002,B-002,,,,,,,,A-001,A-001,A-003,,,,,,,,,,,,41.2,41.2,41.7,,,,,,,9999.0,,Yes,,,,,,,,,,12.0,12.0,,,,1.187,1.187,,,,No,0.545
91,90.0,,,,,,threaded,C-0974,CP-015,,B-002,,,,,,,,,A-006,A-004,,,,,,,,,,,,,71.1,41.6,,,,,,,31.75,,,Yes,,,,,,,,,,12.0,,,,,1.437,,,,,No,1.17
92,,,,,,,threaded,C-1067,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,38.1,,,,,,,,,,,,,19.05,,,No,,63.0,,,,,,,,12.0,,,,,1.437,,,,,No,0.005
93,90.0,,,,,,threaded,C-1072,CP-015,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,46.7,44.5,,,,,,31.75,,,,Yes,,,,,,,,,,,12.0,,,,,1.687,,,,No,0.097
94,,,,,,,threaded,C-1078,CP-014,,B-001,,,,,,,,,A-001,A-004,,,,,,,,12.7,,,,,,,,,,,,,6.35,,,No,,24.4,,,,,,,,20.0,,,,,0.437,,,,,No,0.016
95,90.0,,,,,,threaded,C-1209,CP-015,,B-002,,,,,,,,,A-001,A-004,,,,,,,,,,,,,25.0,25.0,,,,,,,9.52,,,Yes,,,,,,,,,,16.0,,,,,0.687,,,,,Yes,0.096
96,,,,,,,threaded,C-1218,CP-014,,B-002,,,,,,,,,A-006,A-004,,,,,,,,26.99,,,,,,,,,,,,,15.88,,,No,,48.4,,,,,,,,16.0,,,,,0.812,,,,,No,0.15
97,90.0,,,,,,threaded,C-1219,CP-015,,B-002,,,,,,,,,A-005,A-004,,,,,,,,,,,,,37.9,28.0,,,,,,,12.7,,,Yes,,,,,,,,,,16.0,,,,,0.812,,,,,No,0.14
98,90.0,,,,,,threaded,C-1221,CP-015,,,B-002,,,,,,,,A-004,A-001,,,,,,,,,,,,,33.3,33.3,,,,,,19.05,,,,Yes,,,,,,,,,,,14.0,,,,,1.0,,,,Yes,0.16
99,90.0,,,,,,threaded,C-1238,CP-015,,B-001,,,,,,,,,A-006,A-004,,,,,,,,,,,,,28.2,53.6,,,,,,,12.7,,,Yes,,,,,,,,,,16.0,,,,,0.75,,,,,No,0.083
100,,,,,,,threaded,C-1338,CP-014,,,B-002,,,,,,,,A-003,A-001,,,,,,,,27.0,,,,,,,,,,,,21.7,,,,No,,40.5,,,,,,,,,14.0,,,,,1.0,,,,No,0.146
101,,,,,,,threaded,C-1393,CP-014,,,B-005,,,,,,,,A-004,A-007,,,,,,,,,,,,,,,,,,,,38.10,,,,No,,32.0,,,,,,,,,12.0,,,,,1.062,,,,Yes,0.37
102,,,,,,,threaded,C-1423,CP-014,,,B-002,,,,,,,,A-003,A-001,,,,,,,,38.1,,,,,,,,,,,,27.2,,,,No,,42.5,,,,,,,,,12.0,,,,,1.437,,,,No,0.17
103,,,,,,,threaded,C-1441,CP-014,,B-005,,,,,,,,,A-001,A-003,,,,,,,,31.75,,,,,,,,,,,,,19.05,,,No,,31.8,,,,,,,,12.0,,,,,1.062,,,,,No,0.106
104,90.0,,,,,,threaded,C-1445,CP-015,,,B-001,,,,,,,,A-004,A-001,,,,,,,,,,,,,34.5,48.0,,,,,,19.05,,,,Yes,,,,,,,,,,,12.0,,,,,1.062,,,,No,0.363
105,,,,,,,threaded,C-1468,CP-014,,B-006,,,,,,,,,A-001,A-004,,,,,,,,15.88,,,,,,,,,,,,,9.52,,,No,,18.54,,,,,,,,18.0,,,,,0.625,,,,,No,0.128
106,,,,,,,threaded,C-1469,CP-014,,B-006,,,,,,,,,A-001,A-004,,,,,,,,23.81,,,,,,,,,,,,,15.88,,,No,,27.43,,,,,,,,14.0,,,,,0.875,,,,,No,0.047
107,,,,,,,threaded,C-1470,CP-014,,B-008,,,,,,,,,A-001,A-004,,,,,,,,14.29,,,,,,,,,,,,,19.05,,,No,,32.26,,,,,,,,14.0,,,,,1.062,,,,,No,0.099
108,,,,,,,threaded,C-1475,CP-014,,B-006,,,,,,,,,A-001,A-004,,,,,,,,19.05,,,,,,,,,,,,,12.7,,,No,,22.0,,,,,,,,16.0,,,,,0.75,,,,,No,0.031
109,,,,,,,threaded,C-1479,CP-014,,,B-001,,,,,,,,A-004,A-006,,,,,,,,41.28,,,,,,,,,,,,31.75,,,,No,,71.9,,,,,,,,,12.0,,,,,1.312,,,,No,0.061
110,,,,,,,threaded,C-1486,CP-014,,B-006,,,,,,,,,A-001,A-004,,,,,,,,22.22,,,,,,,,,,,,,15.88,,,No,,33.0,,,,,,,,14.0,,,,,0.875,,,,,No,
111,,,,,,,threaded,C-1547,CP-014,,B-001,,,,,,,,,A-001,A-004,,,,,,,,28.58,,,,,,,,,,,,,19.05,,,No,,32.5,,,,,,,,12.0,,,,,1.062,,,,,No,0.091
112,,,,,,,threaded,C-1578,CP-014,,B-001,,,,,,,,,A-006,A-004,,,,,,,,25.4,,,,,,,,,,,,,15.88,,,No,,50.8,,,,,,,,14.0,,,,,0.875,,,,,No,0.091
113,90.0,,,,,,threaded,C-1593,CP-015,,B-001,,,,,,,,,A-006,A-004,,,,,,,,,,,,,67.8,41.4,,,,,,,25.4,,,Yes,,,,,,,,,,12.0,,,,,1.062,,,,,No,0.136
114,,,,,,,threaded,C-1637,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,15.88,,,,,,,,,,,,,6.35,,,No,,22.0,,,,,,,,18.0,,,,,0.562,,,,,No,0.03
115,,,,,,,threaded,C-1638,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,19.05,,,,,,,,,,,,,9.52,,,No,,23.1,,,,,,,,16.0,,,,,0.687,,,,,No,0.04
116,,,,,,,threaded,C-1639,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,22.2,,,,,,,,,,,,,12.7,,,No,,24.7,,,,,,,,16.0,,,,,0.812,,,,,No,0.05
117,,,,,,,threaded,C-1640,CP-014,,B-002,,,,,,,,,A-001,A-004,,,,,,,,26.99,,,,,,,,,,,,,15.88,,,No,,27.4,,,,,,,,14.0,,,,,1.0,,,,,No,0.104
