,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,material,mj_class_code,mj_plug_class_code,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,type,unique_feature,weight,nominal_sizes,lengths,thread_sizes,connection_types,end_forms,thread_pitches,max_length,min_thread_pitch,min_thread_size
11,,,,,0,0,threaded,C-0078,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,32,,,,,,0,,FALSE,0.07,"(17.140000000000001,)",(),"(0.81200000000000006,)","('B-002',)","('A-005', 'A-004')","(16.0,)",0,16,0.812
12,90,,,,0,0,threaded,C-0119,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.205,"(9.5199999999999996,)","(44.0, 15.0)","(0.625,)","('B-003',)","('A-001', 'A-004')","(18.0,)",44,18,0.625
13,,,,,0,0,threaded,C-0133,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,70,,,,,,0,,TRUE,0.142,"(12.699999999999999,)",(),"(0.81200000000000006,)","('B-002',)","('A-006', 'A-004')","(16.0,)",0,16,0.812
14,,,,,0,0,threaded,C-0159,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.667,"('42.7', 34.0)","(35.5, 35.5, 42.0)","(1.4369999999999998,)","('B-002',)","('A-003', 'A-003', 'A-001')","(12.0,)",42,12,1.437
15,,,,,0,0,threaded,C-0173,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,43.5,,,,,,0,,FALSE,0.14,"('27.2',)",(),"(1.0620000000000001,)","('B-005',)","('A-003', 'A-001')","(12.0,)",0,12,1.062
16,,,,,0,0,threaded,C-0178,CP-014,,,,,,,FALSE,,,,63.5,,,,,,,FALSE,,50,,,,,,0,,FALSE,0.511,"(44.450000000000003,)",(),"(2.0,)","('B-004',)","('A-007', 'A-004')","(11.5,)",0,11.5,2
17,,,,,0,0,threaded,C-0179,CP-014,,,,,,,FALSE,,,,44.45,,,,,,,FALSE,,38.5,,,,,,0,,FALSE,0.104,"(35.0,)",(),"(1.6869999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.687
18,,,,,0,0,threaded,C-0180,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,33.5,,,,,,0,,FALSE,0.144,"(25.0,)",(),"(1.1870000000000001,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.187
19,,,,,0,0,threaded,C-0181,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,38.5,,,,,,0,,FALSE,0.218,"(25.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.437
20,,,,,0,0,threaded,C-0182,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,38.5,,,,,,0,,FALSE,0.269,"(30.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.437
21,90,,,,0,0,threaded,C-0189,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.07,"(6.3499999999999996,)","(21.800000000000001, 9.5)","(0.56200000000000006,)","('B-002',)","('A-001', 'A-004')","(18.0,)",21.8,18,0.562
22,90,,,,0,0,threaded,C-0210,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.211,"(15.880000000000001,)","(30.960000000000001, 15.880000000000001)","(0.81200000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",30.96,16,0.812
23,90,,,,0,0,threaded,C-0211,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.243,"(15.880000000000001,)","(33.32, 16.670000000000002)","(1.0,)","('B-002',)","('A-001', 'A-004')","(14.0,)",33.32,14,1
24,90,,,,0,0,threaded,C-0212,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.633,"(25.399999999999999,)","(41.68, 23.82)","(1.4369999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",41.68,12,1.437
25,,,,,0,0,threaded,C-0216,CP-014,,,,,,,FALSE,,,,22.23,,,,,,,FALSE,,20.32,,,,,,0,,FALSE,0.034,"(15.880000000000001,)",(),"(0.75,)","('B-005',)","('A-001', 'A-004')","(16.0,)",0,16,0.75
26,,,,,0,0,threaded,C-0217,CP-014,,,,,,,FALSE,,,,25.4,,,,,,,FALSE,,23.62,,,,,,0,,FALSE,0.054,"(15.880000000000001,)",(),"(0.875,)","('B-005',)","('A-001', 'A-004')","(14.0,)",0,14,0.875
27,,,,,0,0,threaded,C-0218,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,27.69,,,,,,0,,FALSE,0.082,"(25.399999999999999,)",(),"(1.0620000000000001,)","('B-005',)","('A-001', 'A-004')","(12.0,)",0,12,1.062
28,,,,,0,0,threaded,C-0223,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.56,"('25.40', 25.399999999999999)","(40.100000000000001, 40.100000000000001, 41.700000000000003)","(1.6869999999999998,)","('B-002',)","('A-004', 'A-004', 'A-001')","(12.0,)",41.7,12,1.687
29,,,,,0,0,threaded,C-0240,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,38,,,,,,0,,FALSE,0.195,"(30.0,)",(),"(1.1870000000000001,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.187
30,,,,,0,0,threaded,C-0253,CP-014,,,,,,,FALSE,,,,47.62,,,,,,,FALSE,,30.5,,,,,,0,,FALSE,0.2,"('34',)",(),"(1.6869999999999998,)","('B-002',)","('A-004', 'A-001')","(12.0,)",0,12,1.687
31,90,,,,0,0,threaded,C-0263,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.525,"(19.050000000000001,)","(67.200000000000003, 38.899999999999999)","(1.1870000000000001,)","('B-002',)","('A-006', 'A-004')","(12.0,)",67.2,12,1.187
32,90,,,,0,0,threaded,C-0264,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.525,"(19.050000000000001,)","(56.899999999999999, 38.899999999999999)","(0.81200000000000006,)","('B-002',)","('A-006', 'A-004')","(16.0,)",56.9,16,0.812
33,,,,,0,0,threaded,C-0272,CP-014,,,,,,,FALSE,,,,44.45,,,,,,,FALSE,,38.5,,,,,,0,,FALSE,0.104,"(35.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.437
34,,,,,0,0,threaded,C-0318,CP-014,,,,,,,FALSE,,,,22.22,,,,,,,FALSE,,23.1,,,,,,0,,FALSE,0.038,"(15.880000000000001,)",(),"(0.68700000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",0,16,0.687
35,90,,,,0,0,threaded,C-0338,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.29,"('9999',)","(30.0, 33.5)","(1.0,)","('B-002',)","('A-003', 'A-001')","(14.0,)",33.5,14,1
36,,,,,0,0,threaded,C-0339,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.32,"('21.7', 21.699999999999999)","(30.0, 30.0, 33.5)","(1.0,)","('B-002',)","('A-003', 'A-003', 'A-001')","(14.0,)",33.5,14,1
37,,,,,0,0,threaded,C-0363,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,72.5,,,,,,0,,FALSE,0.175,"(19.050000000000001,)",(),"(1.0,)","('B-002',)","('A-006', 'A-004')","(14.0,)",0,14,1
38,,,,,0,0,threaded,C-0369,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.253,"(15.880000000000001,)","(30.550000000000001, 30.550000000000001, 15.880000000000001)","(0.81200000000000006, 0.81200000000000006)","('B-002', 'B-002')","('A-001', 'A-001', 'A-004')","(16.0, 16.0)",30.55,16,0.812
39,,,,,0,0,threaded,C-0371,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.842,"('34',)","(40.0, 42.5, 50.5)","(1.4369999999999998, 1.4369999999999998)","('B-002', 'B-002')","('A-003', 'A-001', 'A-001')","(12.0, 12.0)",50.5,12,1.437
40,,,,,0,0,threaded,C-0386,CP-014,,,,,,,FALSE,,,,60.3,,,,,,,FALSE,,42.7,,,,,,0,,FALSE,0.543,"(9999.0,)",(),"(2.0,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,2
41,,,,,0,0,threaded,C-0388,CP-014,,,,,,,FALSE,,,,19.05,,,,,,,FALSE,,45.9,,,,,,0,,FALSE,0.078,"(12.699999999999999,)",(),"(0.68700000000000006,)","('B-002',)","('A-006', 'A-004')","(16.0,)",0,16,0.687
42,,,,,0,0,threaded,C-0389,CP-014,,,,,,,FALSE,,,,22.22,,,,,,,FALSE,,48.4,,,,,,0,,FALSE,0.15,"(12.699999999999999,)",(),"(0.81200000000000006,)","('B-002',)","('A-006', 'A-004')","(16.0,)",0,16,0.812
43,,,,,0,0,threaded,C-0399,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.169,"('15.88', 15.880000000000001)","(15.880000000000001, 15.880000000000001, 30.960000000000001)","(0.81200000000000006,)","('B-002',)","('A-004', 'A-004', 'A-001')","(16.0,)",30.96,16,0.812
44,,,,,0,0,threaded,C-0409,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,45,,,,,,0,,FALSE,0.15,"(25.399999999999999,)",(),"(1.1870000000000001,)","('B-002',)","('A-005', 'A-004')","(12.0,)",0,12,1.187
45,,,,,0,0,threaded,C-0410,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,44,,,,,,0,,FALSE,0.11,"(19.050000000000001,)",(),"(0.81200000000000006,)","('B-002',)","('A-005', 'A-004')","(16.0,)",0,16,0.812
46,,,,,0,0,threaded,C-0413,CP-014,,,,,,,FALSE,,,,19,,,,,,,FALSE,,23,,,,,,0,,FALSE,0.04,"(10.0,)",(),"(0.68700000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",0,16,0.687
47,,,,,0,0,threaded,C-0414,CP-014,,,,,,,FALSE,,,,19,,,,,,,FALSE,,23,,,,,,0,,FALSE,0.04,"(12.0,)",(),"(0.68700000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",0,16,0.687
48,,,,,0,0,threaded,C-0415,CP-014,,,,,,,FALSE,,,,22,,,,,,,FALSE,,24.5,,,,,,0,,FALSE,0.05,"(12.0,)",(),"(0.81200000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",0,16,0.812
49,,,,,0,0,threaded,C-0417,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,37,,,,,,0,,FALSE,0.231,"(17.140000000000001,)",(),"(0.81200000000000006,)","('B-002',)","('A-005', 'A-004')","(16.0,)",0,16,0.812
50,,,,,0,0,threaded,C-0418,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,30,,,,,,0,,FALSE,0.078,"('17.14',)",(),"(0.81200000000000006,)","('B-002',)","('A-004', 'A-001')","(16.0,)",0,16,0.812
51,,,,,0,0,threaded,C-0419,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,37,,,,,,0,,FALSE,0.231,"(17.469999999999999,)",(),"(0.81200000000000006,)","('B-002',)","('A-005', 'A-004')","(16.0,)",0,16,0.812
52,,,,,0,0,threaded,C-0420,CP-014,,,,,,,FALSE,,,,27,,,,,,,FALSE,,30,,,,,,0,,FALSE,0.078,"('17.47',)",(),"(0.81200000000000006,)","('B-002',)","('A-004', 'A-001')","(16.0,)",0,16,0.812
53,90,,,,0,0,threaded,C-0421,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,TRUE,0.288,"(17.469999999999999,)","(29.0, 21.0)","(0.81200000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",29,16,0.812
54,,,,,0,0,threaded,C-0487,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.669,"(35.0,)","(40.0, 40.0, 22.5)","(1.1870000000000001, 1.1870000000000001)","('B-002', 'B-002')","('A-001', 'A-001', 'A-004')","(12.0, 12.0)",40,12,1.187
55,,,,,0,0,threaded,C-0488,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.702,"(30.0,)","(40.0, 40.0, 23.0)","(1.1870000000000001, 1.1870000000000001)","('B-002', 'B-002')","('A-001', 'A-001', 'A-004')","(12.0, 12.0)",40,12,1.187
56,,,,,0,0,threaded,C-0503,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,48.26,,,,,,0,,FALSE,0.525,"('50.80',)",(),"(1.4369999999999998,)","('B-002',)","('A-004', 'A-001')","(12.0,)",0,12,1.437
57,,,,,0,0,threaded,C-0518,CP-014,,,,,,,FALSE,,,,22,,,,,,,FALSE,,23.1,,,,,,0,,FALSE,0.04,"(7.9400000000000004,)",(),"(0.68700000000000006,)","('B-002',)","('A-001', 'A-004')","(16.0,)",0,16,0.687
58,90,,,,0,0,threaded,C-0521,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.663,"('25.40',)","(23.899999999999999, 41.700000000000003)","(1.4369999999999998,)","('B-002',)","('A-004', 'A-001')","(12.0,)",41.7,12,1.437
59,,,,,0,0,threaded,C-0545,CP-014,,,,,,,FALSE,,,,22.22,,,,,,,FALSE,,24.5,,,,,,0,,FALSE,0.057,"('9.52',)",(),"(0.68700000000000006,)","('B-002',)","('A-004', 'A-005')","(16.0,)",0,16,0.687
60,,,,,0,0,threaded,C-0550,CP-014,,,,,,,FALSE,,,,53.98,,,,,,,FALSE,,38.6,,,,,,0,,FALSE,0.404,"(38.100000000000001,)",(),"(2.0,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,2
61,90,,,,0,0,threaded,C-0584,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.712,"(33.340000000000003,)","(40.0, 28.0)","(1.6869999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",40,12,1.687
62,,,,,0,0,threaded,C-0596,CP-014,,,,,,,FALSE,,,,17.46,,,,,,,FALSE,,43.7,,,,,,0,,TRUE,0.055,"(9.5199999999999996,)",(),"(0.56200000000000006,)","('B-002',)","('A-006', 'A-004')","(18.0,)",0,18,0.562
63,,,,,0,0,threaded,C-0600,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,TRUE,0.529,"(15.880000000000001,)","(65.700000000000003, 38.5, 37.0)","(1.0, 1.1870000000000001)","('B-002', 'B-002')","('A-006', 'A-001', 'A-004')","(14.0, 12.0)",65.7,12,1
64,,,,,0,0,threaded,C-0605,CP-017,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,TRUE,0.358,"('25.40',)","(23.800000000000001, 0.0, 41.700000000000003, 41.700000000000003)","(0.43700000000000006, 1.1870000000000001, 1.1870000000000001)","('B-005', 'B-002', 'B-002')","('A-004', 'A-007', 'A-001', 'A-001')","(20.0, 12.0, 12.0)",41.7,12,0.437
65,,,,,0,0,threaded,C-0607,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.5,"(9.5199999999999996,)","(24.899999999999999, 24.899999999999999, 14.5)","(0.68700000000000006, 0.68700000000000006)","('B-002', 'B-002')","('A-001', 'A-001', 'A-004')","(16.0, 16.0)",24.9,16,0.687
66,,,,,0,0,threaded,C-0638,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,75.5,,,,,,0,,TRUE,0.401,"('25.40',)",(),"(1.4369999999999998,)","('B-002',)","('A-004', 'A-006')","(12.0,)",0,12,1.437
67,,,,,0,0,threaded,C-0651,CP-014,,,,,,,FALSE,,,,76.2,,,,,,,FALSE,,72.4,,,,,,0,,FALSE,0.968,"(63.5,)",(),"(2.5,)","('B-004',)","('A-001', 'A-004')","(8.0,)",0,8,2.5
68,,,,,0,0,threaded,C-0683,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,29.7,,,,,,0,,FALSE,0.134,"(15.880000000000001,)",(),"(1.1870000000000001,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.187
69,,,,,0,0,threaded,C-0702,CP-014,,,,,,,FALSE,,,,53.98,,,,,,,FALSE,,63.3,,,,,,0,,FALSE,0.497,"(38.100000000000001,)",(),"(1.4369999999999998,)","('B-002',)","('A-006', 'A-004')","(12.0,)",0,12,1.437
70,,,,,0,0,threaded,C-0740,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,65.1,,,,,,0,,TRUE,0.123,"('6.35',)",(),"(0.68700000000000006,)","('B-002',)","('A-004', 'A-006')","(16.0,)",0,16,0.687
71,,,,,0,0,threaded,C-0768,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.539,"(19.050000000000001,)","(42.0, 37.299999999999997, 37.299999999999997)","(1.1870000000000001, 1.1870000000000001)","('B-002', 'B-002')","('A-001', 'A-004', 'A-001')","(12.0, 12.0)",42,12,1.187
72,90,,,,0,0,threaded,C-0769,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.138,"('14.29',)","(24.699999999999999, 25.0)","(0.68700000000000006,)","('B-002',)","('A-004', 'A-001')","(16.0,)",25,16,0.687
73,,,,,0,0,threaded,C-0775,CP-014,,,,,,,FALSE,,,,,,,,,,,FALSE,,65.1,,,,,,0,,FALSE,0.111,"('9.52',)",(),"(0.68700000000000006,)","('B-002',)","('A-004', 'A-006')","(16.0,)",0,16,0.687
74,,,,,0,0,threaded,C-0805,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,1.125,"('25.40',)","(43.0, 41.700000000000003, 71.200000000000003)","(0.81200000000000006, 1.4369999999999998)","('B-002', 'B-002')","('A-004', 'A-001', 'A-006')","(16.0, 12.0)",71.2,12,0.812
75,,,,,0,0,threaded,C-0806,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,1.007,"('25.40',)","(50.0, 41.700000000000003, 41.700000000000003)","(1.4369999999999998, 1.4369999999999998)","('B-002', 'B-002')","('A-004', 'A-001', 'A-001')","(12.0, 12.0)",50,12,1.437
76,,,,,0,0,threaded,C-0807,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.646,"(25.399999999999999,)","(40.0, 40.0, 42.0)","(1.0, 1.0)","('B-002', 'B-002')","('A-001', 'A-001', 'A-004')","(14.0, 14.0)",42,14,1
77,90,,,,0,0,threaded,C-0826,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,TRUE,0.182,"('25.40',)","(34.5, 48.0)","(1.0620000000000001,)","('B-001',)","('A-004', 'A-001')","(12.0,)",48,12,1.062
78,,,,,0,0,threaded,C-0832,CP-014,,,,,,,FALSE,,,,14.29,,,,,,,FALSE,,24.4,,,,,,0,,FALSE,0.681,"(9.5199999999999996,)",(),"(0.56200000000000006,)","('B-001',)","('A-001', 'A-004')","(18.0,)",0,18,0.562
79,,,,,0,0,threaded,C-0833,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,41.1,,,,,,0,,FALSE,0.136,"(31.75,)",(),"(1.3119999999999998,)","('B-001',)","('A-001', 'A-004')","(12.0,)",0,12,1.312
80,90,,,,0,0,threaded,C-0882,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,1.05,"('38.10',)","(48.799999999999997, 61.200000000000003)","(2.0,)","('B-002',)","('A-004', 'A-005')","(12.0,)",61.2,12,2
81,45,,,,0,0,threaded,C-0895,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.397,"(19.050000000000001,)","(36.5, 25.899999999999999)","(1.1870000000000001,)","('B-002',)","('A-001', 'A-004')","(12.0,)",36.5,12,1.187
82,,,,,0,0,threaded,C-0900,CP-014,,,,,,,FALSE,,,,44.45,,,,,,,FALSE,,63.2,,,,,,0,,FALSE,0.456,"(31.75,)",(),"(1.6869999999999998,)","('B-002',)","('A-001', 'A-004')","(12.0,)",0,12,1.687
83,,,,,0,0,threaded,C-0911,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,42.5,,,,,,0,,FALSE,0.201,"('25.40',)",(),"(1.4369999999999998,)","('B-002',)","('A-003', 'A-001')","(12.0,)",0,12,1.437
84,90,,,,0,0,threaded,C-0912,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.458,"('25.40',)","(39.5, 41.700000000000003)","(1.4369999999999998,)","('B-002',)","('A-003', 'A-001')","(12.0,)",41.7,12,1.437
85,,,,,0,0,threaded,C-0938,CP-014,,,,,,,FALSE,,,,44.45,,,,,,,FALSE,,56.6,,,,,,0,,FALSE,0.351,"(35.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-003')","(12.0,)",0,12,1.437
86,,,,,0,0,threaded,C-0945,CP-014,,,,,,,FALSE,,,,38,,,,,,,FALSE,,42.4,,,,,,0,,FALSE,0.225,"(30.0,)",(),"(1.1870000000000001,)","('B-002',)","('A-001', 'A-003')","(12.0,)",0,12,1.187
87,,,,,0,0,threaded,C-0947,CP-014,,,,,,,FALSE,,,,38,,,,,,,FALSE,,42.9,,,,,,0,,FALSE,0.204,"(30.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-003')","(12.0,)",0,12,1.437
88,,,,,0,0,threaded,C-0948,CP-014,,,,,,,FALSE,,,,38,,,,,,,FALSE,,56.6,,,,,,0,,FALSE,0.284,"(25.0,)",(),"(1.4369999999999998,)","('B-002',)","('A-001', 'A-003')","(12.0,)",0,12,1.437
89,,,,,0,0,threaded,C-0949,CP-014,,,,,,,FALSE,,,,31.75,,,,,,,FALSE,,50.7,,,,,,0,,FALSE,0.176,"(25.0,)",(),"(1.1870000000000001,)","('B-002',)","('A-001', 'A-003')","(12.0,)",0,12,1.187
90,,,,,0,0,threaded,C-0971,CP-016,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.545,"(9999.0,)","(41.200000000000003, 41.200000000000003, 41.700000000000003)","(1.1870000000000001, 1.1870000000000001)","('B-002', 'B-002')","('A-001', 'A-001', 'A-003')","(12.0, 12.0)",41.7,12,1.187
91,90,,,,0,0,threaded,C-0974,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,1.17,"(31.75,)","(71.099999999999994, 41.600000000000001)","(1.4369999999999998,)","('B-002',)","('A-006', 'A-004')","(12.0,)",71.1,12,1.437
92,,,,,0,0,threaded,C-1067,CP-014,,,,,,,FALSE,,,,38.1,,,,,,,FALSE,,63,,,,,,0,,FALSE,0.005,"(19.050000000000001,)",(),"(1.4369999999999998,)","('B-002',)","('A-006', 'A-004')","(12.0,)",0,12,1.437
93,90,,,,0,0,threaded,C-1072,CP-015,,,,,,,FALSE,,,,,,,,,,,TRUE,,0,,,,,,0,,FALSE,0.097,"('31.75',)","(46.700000000000003, 44.5)","(1.6869999999999998,)","('B-002',)","('A-004', 'A-001')","(12.0,)",46.7,12,1.687
94,,,,,0,0,threaded,C-1078,CP-014,,,,,,,FALSE,,,,12.7,,,,,,,FALSE,,24.4,,,,,,0,,FALSE,0.016,"(6.3499999999999996,)",(),"(0.43700000000000006,)","('B-001',)","('A-001', 'A-004')","(20.0,)",0,20,0.437
